G2V	RVS_T05750G45P00V000K2SNWNVRVSF	
8439.6643      8780.2676
4390	       1.0e-9
4395	       1.0e-9
4400	       1.0e-9
4405	       1.0e-9
4410	       1.0e-9
4415	       1.0e-9
4420	       1.0e-9
4425	       1.0e-9
4430	       1.0e-9
4435	       1.0e-9
4440	       1.0e-9
4445	       1.0e-9
4450	       1.0e-9
4455	       1.0e-9
4460	       1.0e-9
4465	       1.0e-9
4470	       1.0e-9
4475	       1.0e-9
4480	       1.0e-9
4485	       1.0e-9
4490	       1.0e-9
4495	       1.0e-9
4500	       1.0e-9
4505	       1.0e-9
4510	       1.0e-9
4515	       1.0e-9
4520	       1.0e-9
4525	       1.0e-9
4530	       1.0e-9
4535	       1.0e-9
4540	       1.0e-9
4545	       1.0e-9
4550	       1.0e-9
4555	       1.0e-9
4560	       1.0e-9
4565	       1.0e-9
4570	       1.0e-9
4575	       1.0e-9
4580	       1.0e-9
4585	       1.0e-9
4590	       1.0e-9
4595	       1.0e-9
4600	       1.0e-9
4605	       1.0e-9
4610	       1.0e-9
4615	       1.0e-9
4620	       1.0e-9
4625	       1.0e-9
4630	       1.0e-9
4635	       1.0e-9
4640	       1.0e-9
4645	       1.0e-9
4650	       1.0e-9
4655	       1.0e-9
4660	       1.0e-9
4665	       1.0e-9
4670	       1.0e-9
4675	       1.0e-9
4680	       1.0e-9
4685	       1.0e-9
4690	       1.0e-9
4695	       1.0e-9
4700	       1.0e-9
4705	       1.0e-9
4710	       1.0e-9
4715	       1.0e-9
4720	       1.0e-9
4725	       1.0e-9
4730	       1.0e-9
4735	       1.0e-9
4740	       1.0e-9
4745	       1.0e-9
4750	       1.0e-9
4755	       1.0e-9
4760	       1.0e-9
4765	       1.0e-9
4770	       1.0e-9
4775	       1.0e-9
4780	       1.0e-9
4785	       1.0e-9
4790	       1.0e-9
4795	       1.0e-9
4800	       1.0e-9
4805	       1.0e-9
4810	       1.0e-9
4815	       1.0e-9
4820	       1.0e-9
4825	       1.0e-9
4830	       1.0e-9
4835	       1.0e-9
4840	       1.0e-9
4845	       1.0e-9
4850	       1.0e-9
4855	       1.0e-9
4860	       1.0e-9
4865	       1.0e-9
4870	       1.0e-9
4875	       1.0e-9
4880	       1.0e-9
4885	       1.0e-9
4890	       1.0e-9
4895	       1.0e-9
4900	       1.0e-9
4905	       1.0e-9
4910	       1.0e-9
4915	       1.0e-9
4920	       1.0e-9
4925	       1.0e-9
4930	       1.0e-9
4935	       1.0e-9
4940	       1.0e-9
4945	       1.0e-9
4950	       1.0e-9
4955	       1.0e-9
4960	       1.0e-9
4965	       1.0e-9
4970	       1.0e-9
4975	       1.0e-9
4980	       1.0e-9
4985	       1.0e-9
4990	       1.0e-9
4995	       1.0e-9
5000	       1.0e-9
5005	       1.0e-9
5010	       1.0e-9
5015	       1.0e-9
5020	       1.0e-9
5025	       1.0e-9
5030	       1.0e-9
5035	       1.0e-9
5040	       1.0e-9
5045	       1.0e-9
5050	       1.0e-9
5055	       1.0e-9
5060	       1.0e-9
5065	       1.0e-9
5070	       1.0e-9
5075	       1.0e-9
5080	       1.0e-9
5085	       1.0e-9
5090	       1.0e-9
5095	       1.0e-9
5100	       1.0e-9
5105	       1.0e-9
5110	       1.0e-9
5115	       1.0e-9
5120	       1.0e-9
5125	       1.0e-9
5130	       1.0e-9
5135	       1.0e-9
5140	       1.0e-9
5145	       1.0e-9
5150	       1.0e-9
5155	       1.0e-9
5160	       1.0e-9
5165	       1.0e-9
5170	       1.0e-9
5175	       1.0e-9
5180	       1.0e-9
5185	       1.0e-9
5190	       1.0e-9
5195	       1.0e-9
5200	       1.0e-9
5205	       1.0e-9
5210	       1.0e-9
5215	       1.0e-9
5220	       1.0e-9
5225	       1.0e-9
5230	       1.0e-9
5235	       1.0e-9
5240	       1.0e-9
5245	       1.0e-9
5250	       1.0e-9
5255	       1.0e-9
5260	       1.0e-9
5265	       1.0e-9
5270	       1.0e-9
5275	       1.0e-9
5280	       1.0e-9
5285	       1.0e-9
5290	       1.0e-9
5295	       1.0e-9
5300	       1.0e-9
5305	       1.0e-9
5310	       1.0e-9
5315	       1.0e-9
5320	       1.0e-9
5325	       1.0e-9
5330	       1.0e-9
5335	       1.0e-9
5340	       1.0e-9
5345	       1.0e-9
5350	       1.0e-9
5355	       1.0e-9
5360	       1.0e-9
5365	       1.0e-9
5370	       1.0e-9
5375	       1.0e-9
5380	       1.0e-9
5385	       1.0e-9
5390	       1.0e-9
5395	       1.0e-9
5400	       1.0e-9
5405	       1.0e-9
5410	       1.0e-9
5415	       1.0e-9
5420	       1.0e-9
5425	       1.0e-9
5430	       1.0e-9
5435	       1.0e-9
5440	       1.0e-9
5445	       1.0e-9
5450	       1.0e-9
5455	       1.0e-9
5460	       1.0e-9
5465	       1.0e-9
5470	       1.0e-9
5475	       1.0e-9
5480	       1.0e-9
5485	       1.0e-9
5490	       1.0e-9
5495	       1.0e-9
5500	       1.0e-9
5505	       1.0e-9
5510	       1.0e-9
5515	       1.0e-9
5520	       1.0e-9
5525	       1.0e-9
5530	       1.0e-9
5535	       1.0e-9
5540	       1.0e-9
5545	       1.0e-9
5550	       1.0e-9
5555	       1.0e-9
5560	       1.0e-9
5565	       1.0e-9
5570	       1.0e-9
5575	       1.0e-9
5580	       1.0e-9
5585	       1.0e-9
5590	       1.0e-9
5595	       1.0e-9
5600	       1.0e-9
5605	       1.0e-9
5610	       1.0e-9
5615	       1.0e-9
5620	       1.0e-9
5625	       1.0e-9
5630	       1.0e-9
5635	       1.0e-9
5640	       1.0e-9
5645	       1.0e-9
5650	       1.0e-9
5655	       1.0e-9
5660	       1.0e-9
5665	       1.0e-9
5670	       1.0e-9
5675	       1.0e-9
5680	       1.0e-9
5685	       1.0e-9
5690	       1.0e-9
5695	       1.0e-9
5700	       1.0e-9
5705	       1.0e-9
5710	       1.0e-9
5715	       1.0e-9
5720	       1.0e-9
5725	       1.0e-9
5730	       1.0e-9
5735	       1.0e-9
5740	       1.0e-9
5745	       1.0e-9
5750	       1.0e-9
5755	       1.0e-9
5760	       1.0e-9
5765	       1.0e-9
5770	       1.0e-9
5775	       1.0e-9
5780	       1.0e-9
5785	       1.0e-9
5790	       1.0e-9
5795	       1.0e-9
5800	       1.0e-9
5805	       1.0e-9
5810	       1.0e-9
5815	       1.0e-9
5820	       1.0e-9
5825	       1.0e-9
5830	       1.0e-9
5835	       1.0e-9
5840	       1.0e-9
5845	       1.0e-9
5850	       1.0e-9
5855	       1.0e-9
5860	       1.0e-9
5865	       1.0e-9
5870	       1.0e-9
5875	       1.0e-9
5880	       1.0e-9
5885	       1.0e-9
5890	       1.0e-9
5895	       1.0e-9
5900	       1.0e-9
5905	       1.0e-9
5910	       1.0e-9
5915	       1.0e-9
5920	       1.0e-9
5925	       1.0e-9
5930	       1.0e-9
5935	       1.0e-9
5940	       1.0e-9
5945	       1.0e-9
5950	       1.0e-9
5955	       1.0e-9
5960	       1.0e-9
5965	       1.0e-9
5970	       1.0e-9
5975	       1.0e-9
5980	       1.0e-9
5985	       1.0e-9
5990	       1.0e-9
5995	       1.0e-9
6000	       1.0e-9
6005	       1.0e-9
6010	       1.0e-9
6015	       1.0e-9
6020	       1.0e-9
6025	       1.0e-9
6030	       1.0e-9
6035	       1.0e-9
6040	       1.0e-9
6045	       1.0e-9
6050	       1.0e-9
6055	       1.0e-9
6060	       1.0e-9
6065	       1.0e-9
6070	       1.0e-9
6075	       1.0e-9
6080	       1.0e-9
6085	       1.0e-9
6090	       1.0e-9
6095	       1.0e-9
6100	       1.0e-9
6105	       1.0e-9
6110	       1.0e-9
6115	       1.0e-9
6120	       1.0e-9
6125	       1.0e-9
6130	       1.0e-9
6135	       1.0e-9
6140	       1.0e-9
6145	       1.0e-9
6150	       1.0e-9
6155	       1.0e-9
6160	       1.0e-9
6165	       1.0e-9
6170	       1.0e-9
6175	       1.0e-9
6180	       1.0e-9
6185	       1.0e-9
6190	       1.0e-9
6195	       1.0e-9
6200	       1.0e-9
6205	       1.0e-9
6210	       1.0e-9
6215	       1.0e-9
6220	       1.0e-9
6225	       1.0e-9
6230	       1.0e-9
6235	       1.0e-9
6240	       1.0e-9
6245	       1.0e-9
6250	       1.0e-9
6255	       1.0e-9
6260	       1.0e-9
6265	       1.0e-9
6270	       1.0e-9
6275	       1.0e-9
6280	       1.0e-9
6285	       1.0e-9
6290	       1.0e-9
6295	       1.0e-9
6300	       1.0e-9
6305	       1.0e-9
6310	       1.0e-9
6315	       1.0e-9
6320	       1.0e-9
6325	       1.0e-9
6330	       1.0e-9
6335	       1.0e-9
6340	       1.0e-9
6345	       1.0e-9
6350	       1.0e-9
6355	       1.0e-9
6360	       1.0e-9
6365	       1.0e-9
6370	       1.0e-9
6375	       1.0e-9
6380	       1.0e-9
6385	       1.0e-9
6390	       1.0e-9
6395	       1.0e-9
6400	       1.0e-9
6405	       1.0e-9
6410	       1.0e-9
6415	       1.0e-9
6420	       1.0e-9
6425	       1.0e-9
6430	       1.0e-9
6435	       1.0e-9
6440	       1.0e-9
6445	       1.0e-9
6450	       1.0e-9
6455	       1.0e-9
6460	       1.0e-9
6465	       1.0e-9
6470	       1.0e-9
6475	       1.0e-9
6480	       1.0e-9
6485	       1.0e-9
6490	       1.0e-9
6495	       1.0e-9
6500	       1.0e-9
6505	       1.0e-9
6510	       1.0e-9
6515	       1.0e-9
6520	       1.0e-9
6525	       1.0e-9
6530	       1.0e-9
6535	       1.0e-9
6540	       1.0e-9
6545	       1.0e-9
6550	       1.0e-9
6555	       1.0e-9
6560	       1.0e-9
6565	       1.0e-9
6570	       1.0e-9
6575	       1.0e-9
6580	       1.0e-9
6585	       1.0e-9
6590	       1.0e-9
6595	       1.0e-9
6600	       1.0e-9
6605	       1.0e-9
6610	       1.0e-9
6615	       1.0e-9
6620	       1.0e-9
6625	       1.0e-9
6630	       1.0e-9
6635	       1.0e-9
6640	       1.0e-9
6645	       1.0e-9
6650	       1.0e-9
6655	       1.0e-9
6660	       1.0e-9
6665	       1.0e-9
6670	       1.0e-9
6675	       1.0e-9
6680	       1.0e-9
6685	       1.0e-9
6690	       1.0e-9
6695	       1.0e-9
6700	       1.0e-9
6705	       1.0e-9
6710	       1.0e-9
6715	       1.0e-9
6720	       1.0e-9
6725	       1.0e-9
6730	       1.0e-9
6735	       1.0e-9
6740	       1.0e-9
6745	       1.0e-9
6750	       1.0e-9
6755	       1.0e-9
6760	       1.0e-9
6765	       1.0e-9
6770	       1.0e-9
6775	       1.0e-9
6780	       1.0e-9
6785	       1.0e-9
6790	       1.0e-9
6795	       1.0e-9
6800	       1.0e-9
6805	       1.0e-9
6810	       1.0e-9
6815	       1.0e-9
6820	       1.0e-9
6825	       1.0e-9
6830	       1.0e-9
6835	       1.0e-9
6840	       1.0e-9
6845	       1.0e-9
6850	       1.0e-9
6855	       1.0e-9
6860	       1.0e-9
6865	       1.0e-9
6870	       1.0e-9
6875	       1.0e-9
6880	       1.0e-9
6885	       1.0e-9
6890	       1.0e-9
6895	       1.0e-9
6900	       1.0e-9
6905	       1.0e-9
6910	       1.0e-9
6915	       1.0e-9
6920	       1.0e-9
6925	       1.0e-9
6930	       1.0e-9
6935	       1.0e-9
6940	       1.0e-9
6945	       1.0e-9
6950	       1.0e-9
6955	       1.0e-9
6960	       1.0e-9
6965	       1.0e-9
6970	       1.0e-9
6975	       1.0e-9
6980	       1.0e-9
6985	       1.0e-9
6990	       1.0e-9
6995	       1.0e-9
7000	       1.0e-9
7005	       1.0e-9
7010	       1.0e-9
7015	       1.0e-9
7020	       1.0e-9
7025	       1.0e-9
7030	       1.0e-9
7035	       1.0e-9
7040	       1.0e-9
7045	       1.0e-9
7050	       1.0e-9
7055	       1.0e-9
7060	       1.0e-9
7065	       1.0e-9
7070	       1.0e-9
7075	       1.0e-9
7080	       1.0e-9
7085	       1.0e-9
7090	       1.0e-9
7095	       1.0e-9
7100	       1.0e-9
7105	       1.0e-9
7110	       1.0e-9
7115	       1.0e-9
7120	       1.0e-9
7125	       1.0e-9
7130	       1.0e-9
7135	       1.0e-9
7140	       1.0e-9
7145	       1.0e-9
7150	       1.0e-9
7155	       1.0e-9
7160	       1.0e-9
7165	       1.0e-9
7170	       1.0e-9
7175	       1.0e-9
7180	       1.0e-9
7185	       1.0e-9
7190	       1.0e-9
7195	       1.0e-9
7200	       1.0e-9
7205	       1.0e-9
7210	       1.0e-9
7215	       1.0e-9
7220	       1.0e-9
7225	       1.0e-9
7230	       1.0e-9
7235	       1.0e-9
7240	       1.0e-9
7245	       1.0e-9
7250	       1.0e-9
7255	       1.0e-9
7260	       1.0e-9
7265	       1.0e-9
7270	       1.0e-9
7275	       1.0e-9
7280	       1.0e-9
7285	       1.0e-9
7290	       1.0e-9
7295	       1.0e-9
7300	       1.0e-9
7305	       1.0e-9
7310	       1.0e-9
7315	       1.0e-9
7320	       1.0e-9
7325	       1.0e-9
7330	       1.0e-9
7335	       1.0e-9
7340	       1.0e-9
7345	       1.0e-9
7350	       1.0e-9
7355	       1.0e-9
7360	       1.0e-9
7365	       1.0e-9
7370	       1.0e-9
7375	       1.0e-9
7380	       1.0e-9
7385	       1.0e-9
7390	       1.0e-9
7395	       1.0e-9
7400	       1.0e-9
7405	       1.0e-9
7410	       1.0e-9
7415	       1.0e-9
7420	       1.0e-9
7425	       1.0e-9
7430	       1.0e-9
7435	       1.0e-9
7440	       1.0e-9
7445	       1.0e-9
7450	       1.0e-9
7455	       1.0e-9
7460	       1.0e-9
7465	       1.0e-9
7470	       1.0e-9
7475	       1.0e-9
7480	       1.0e-9
7485	       1.0e-9
7490	       1.0e-9
7495	       1.0e-9
7500	       1.0e-9
7505	       1.0e-9
7510	       1.0e-9
7515	       1.0e-9
7520	       1.0e-9
7525	       1.0e-9
7530	       1.0e-9
7535	       1.0e-9
7540	       1.0e-9
7545	       1.0e-9
7550	       1.0e-9
7555	       1.0e-9
7560	       1.0e-9
7565	       1.0e-9
7570	       1.0e-9
7575	       1.0e-9
7580	       1.0e-9
7585	       1.0e-9
7590	       1.0e-9
7595	       1.0e-9
7600	       1.0e-9
7605	       1.0e-9
7610	       1.0e-9
7615	       1.0e-9
7620	       1.0e-9
7625	       1.0e-9
7630	       1.0e-9
7635	       1.0e-9
7640	       1.0e-9
7645	       1.0e-9
7650	       1.0e-9
7655	       1.0e-9
7660	       1.0e-9
7665	       1.0e-9
7670	       1.0e-9
7675	       1.0e-9
7680	       1.0e-9
7685	       1.0e-9
7690	       1.0e-9
7695	       1.0e-9
7700	       1.0e-9
7705	       1.0e-9
7710	       1.0e-9
7715	       1.0e-9
7720	       1.0e-9
7725	       1.0e-9
7730	       1.0e-9
7735	       1.0e-9
7740	       1.0e-9
7745	       1.0e-9
7750	       1.0e-9
7755	       1.0e-9
7760	       1.0e-9
7765	       1.0e-9
7770	       1.0e-9
7775	       1.0e-9
7780	       1.0e-9
7785	       1.0e-9
7790	       1.0e-9
7795	       1.0e-9
7800	       1.0e-9
7805	       1.0e-9
7810	       1.0e-9
7815	       1.0e-9
7820	       1.0e-9
7825	       1.0e-9
7830	       1.0e-9
7835	       1.0e-9
7840	       1.0e-9
7845	       1.0e-9
7850	       1.0e-9
7855	       1.0e-9
7860	       1.0e-9
7865	       1.0e-9
7870	       1.0e-9
7875	       1.0e-9
7880	       1.0e-9
7885	       1.0e-9
7890	       1.0e-9
7895	       1.0e-9
7900	       1.0e-9
7905	       1.0e-9
7910	       1.0e-9
7915	       1.0e-9
7920	       1.0e-9
7925	       1.0e-9
7930	       1.0e-9
7935	       1.0e-9
7940	       1.0e-9
7945	       1.0e-9
7950	       1.0e-9
7955	       1.0e-9
7960	       1.0e-9
7965	       1.0e-9
7970	       1.0e-9
7975	       1.0e-9
7980	       1.0e-9
7985	       1.0e-9
7990	       1.0e-9
7995	       1.0e-9
8000	       1.0e-9
8005	       1.0e-9
8010	       1.0e-9
8015	       1.0e-9
8020	       1.0e-9
8025	       1.0e-9
8030	       1.0e-9
8035	       1.0e-9
8040	       1.0e-9
8045	       1.0e-9
8050	       1.0e-9
8055	       1.0e-9
8060	       1.0e-9
8065	       1.0e-9
8070	       1.0e-9
8075	       1.0e-9
8080	       1.0e-9
8085	       1.0e-9
8090	       1.0e-9
8095	       1.0e-9
8100	       1.0e-9
8105	       1.0e-9
8110	       1.0e-9
8115	       1.0e-9
8120	       1.0e-9
8125	       1.0e-9
8130	       1.0e-9
8135	       1.0e-9
8140	       1.0e-9
8145	       1.0e-9
8150	       1.0e-9
8155	       1.0e-9
8160	       1.0e-9
8165	       1.0e-9
8170	       1.0e-9
8175	       1.0e-9
8180	       1.0e-9
8185	       1.0e-9
8190	       1.0e-9
8195	       1.0e-9
8200	       1.0e-9
8205	       1.0e-9
8210	       1.0e-9
8215	       1.0e-9
8220	       1.0e-9
8225	       1.0e-9
8230	       1.0e-9
8235	       1.0e-9
8240	       1.0e-9
8245	       1.0e-9
8250	       1.0e-9
8255	       1.0e-9
8260	       1.0e-9
8265	       1.0e-9
8270	       1.0e-9
8275	       1.0e-9
8280	       1.0e-9
8285	       1.0e-9
8290	       1.0e-9
8295	       1.0e-9
8300	       1.0e-9
8305	       1.0e-9
8310	       1.0e-9
8315	       1.0e-9
8320	       1.0e-9
8325	       1.0e-9
8330	       1.0e-9
8335	       1.0e-9
8340	       1.0e-9
8345	       1.0e-9
8350	       1.0e-9
8355	       1.0e-9
8360	       1.0e-9
8365	       1.0e-9
8370	       1.0e-9
8375	       1.0e-9
8380	       1.0e-9
8385	       1.0e-9
8390	       1.0e-9
8395	       1.0e-9
8400	       1.0e-9
8405	       1.0e-9
8410	       1.0e-9
8415	       1.0e-9
8420	       1.0e-9
8425	       1.0e-9
8430	       1.0e-9
8435	       1.0e-9
8439.6643      1.0e-9
8440.0312      1.0e-9
8440.3982      1.0e-9
8440.7651      1.0e-9
8441.1321      1.0e-9
8441.4991      1.0e-9
8441.8662      1.0e-9
8442.2332      1.0e-9
8442.6002      1.0e-9
8442.9673      1.0e-9
8443.3344      1.0e-9
8443.7015      1.0e-9
8444.0686      1.0e-9
8444.4358      1.0e-9
8444.8029      1.0e-9
8445.1701      1.0e-9
8445.5372      1.0e-9
8445.9044      1.0e-9
8446.2717      1.0e-9
8446.6389      1.0e-9
8447.0061      1.0e-9
8447.3734      1.0e-9
8447.7407      1.0e-9
8448.108       1.0e-9
8448.4753      1.0e-9
8448.8426      1.0e-9
8449.2099      1.0e-9
8449.5773      1.0e-9
8449.9447      1.0e-9
8450.3121      1.0e-9
8450.6795      1.0e-9
8451.0469      1.0e-9
8451.4143      1.0e-9
8451.7818      1.0e-9
8452.1492      1.0e-9
8452.5167      1.0e-9
8452.8842      1.0e-9
8453.2517      1.0e-9
8453.6193      1.0e-9
8453.9868      1.0e-9
8454.3544      1.0e-9
8454.722       1.0e-9
8455.0896      1.0e-9
8455.4572      1.0e-9
8455.8248      1.0e-9
8456.1925      1.0e-9
8456.5601      1.0e-9
8456.9278      1.0e-9
8457.2955      1.0e-9
8457.6632      1.0e-9
8458.0309      1.0e-9
8458.3987      1.0e-9
8458.7664      1.0e-9
8459.1342      1.0e-9
8459.502       1.0e-9
8459.8698      1.0e-9
8460.2376      1.0e-9
8460.6054      1.0e-9
8460.9733      1.0e-9
8461.3412      1.0e-9
8461.709       1.0e-9
8462.0769      1.0e-9
8462.4449      1.0e-9
8462.8128      1.0e-9
8463.1807      1.0e-9
8463.5487      1.0e-9
8463.9167      1.0e-9
8464.2847      1.0e-9
8464.6527      1.0e-9
8465.0207      1.0e-9
8465.3888      1.0e-9
8465.7568      1.0e-9
8466.1249      1.0e-9
8466.493       1.0e-9
8466.8611      1.0e-9
8467.2292      1.0e-9
8467.5974      1.0e-9
8467.9655      1.0e-9
8468.3337      1.0e-9
8468.7019      1.0e-9
8469.0701      1.0e-9
8469.4383      1.0e-9
8469.8065      1.0e-9
8470.1748      1.0e-9
8470.5431      1.0e-9
8470.9113      1.0e-9
8471.2797      1.0e-9
8471.648       1.0e-9
8472.0163      1.0e-9
8472.3846      1.0e-9
8472.753       1.0e-9
8473.1214      1.0e-9
8473.4898      1.0e-9
8473.8582      1.0e-9
8474.2266      1.0e-9
8474.5951      1.0e-9
8474.9635      1.0e-9
8475.332       1.0e-9
8475.7005      1.0e-9
8476.069       1.0e-9
8476.4375      1.0e-9
8476.8061      1.0e-9
8477.1746      1.0e-9
8477.5432      1.0e-9
8477.9118      1.0e-9
8478.2804      1.0e-9
8478.649       1.0e-9
8479.0177      1.0e-9
8479.3863      1.0e-9
8479.755       1.0e-9
8480.1237      1.0e-9
8480.4924      1.0e-9
8480.8611      1.0e-9
8481.2298      1.0e-9
8481.5986      1.0e-9
8481.9673      1.0e-9
8482.3361      1.0e-9
8482.7049      1.0e-9
8483.0737      1.0e-9
8483.4426      1.0e-9
8483.8114      1.0e-9
8484.1803      1.0e-9
8484.5491      1.0e-9
8484.918       1.0e-9
8485.2869      1.0e-9
8485.6559      1.0e-9
8486.0248      1.0e-9
8486.3938      1.0e-9
8486.7627      1.0e-9
8487.1317      1.0e-9
8487.5007      1.0e-9
8487.8698      1.0e-9
8488.2388      1.0e-9
8488.6078      1.0e-9
8488.9769      1.0e-9
8489.346       1.0e-9
8489.7151      1.0e-9
8490.0842      1.0e-9
8490.4534      1.0e-9
8490.8225      1.0e-9
8491.1917      1.0e-9
8491.5609      1.0e-9
8491.9301      1.0e-9
8492.2993      1.0e-9
8492.6685      1.0e-9
8493.0377      1.0e-9
8493.407       1.0e-9
8493.7763      1.0e-9
8494.1456      1.0e-9
8494.5149      1.0e-9
